,gameweek,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,season,home_score,away_score
385,35,Sat,2023-05-06,15:00,Manchester City,2.6,2–1,0.2,Leeds United,"53,406",Etihad Stadium,Andy Madley,Match Report,,2022,2.0,1.0
386,35,Sat,2023-05-06,17:30,Liverpool,2.2,1–0,0.2,Brentford,"52,838",Anfield,Anthony Taylor,Match Report,,2022,1.0,0.0
387,35,Sun,2023-05-07,16:30,Newcastle Utd,1.3,0–2,1.3,Arsenal,"50,267",St James' Park,Chris Kavanagh,Match Report,,2022,0.0,2.0
388,35,Sun,2023-05-07,19:00,West Ham,1.3,1–0,1.2,Manchester Utd,"62,477",London Stadium,Peter Bankes,Match Report,,2022,1.0,0.0
389,35,Mon,2023-05-08,15:00,Fulham,1.6,5–3,2.8,Leicester City,"24,442",Craven Cottage,Robert Jones,Match Report,,2022,5.0,3.0
390,35,Mon,2023-05-08,17:30,Brighton,3.2,1–5,2.3,Everton,"31,567",The American Express Community Stadium,Simon Hooper,Match Report,,2022,1.0,5.0
391,35,Mon,2023-05-08,20:00,Nott'ham Forest,1.8,4–3,3.1,Southampton,"29,154",The City Ground,Michael Oliver,Match Report,,2022,4.0,3.0
393,36,Sat,2023-05-13,12:30,Leeds United,2.1,2–2,2.4,Newcastle Utd,"36,955",Elland Road,Simon Hooper,Match Report,,2022,2.0,2.0
394,36,Sat,2023-05-13,15:00,Aston Villa,1.2,2–1,1.4,Tottenham,"42,164",Villa Park,Peter Bankes,Match Report,,2022,2.0,1.0
395,36,Sat,2023-05-13,15:00,Chelsea,1.2,2–2,1.3,Nott'ham Forest,"40,030",Stamford Bridge,Paul Tierney,Match Report,,2022,2.0,2.0
396,36,Sat,2023-05-13,15:00,Crystal Palace,1.5,2–0,0.3,Bournemouth,"25,034",Selhurst Park,Michael Salisbury,Match Report,,2022,2.0,0.0
397,36,Sat,2023-05-13,15:00,Southampton,0.4,0–2,1.4,Fulham,"28,978",St. Mary's Stadium,Thomas Bramall,Match Report,,2022,0.0,2.0
398,36,Sat,2023-05-13,15:00,Manchester Utd,3.2,2–0,0.3,Wolves,"73,570",Old Trafford,John Brooks,Match Report,,2022,2.0,0.0
399,36,Sun,2023-05-14,14:00,Everton,1.6,0–3,0.8,Manchester City,"39,376",Goodison Park,Anthony Taylor,Match Report,,2022,0.0,3.0
400,36,Sun,2023-05-14,14:00,Brentford,3.4,2–0,0.2,West Ham,"17,075",Brentford Community Stadium,Michael Oliver,Match Report,,2022,2.0,0.0
401,36,Sun,2023-05-14,16:30,Arsenal,0.9,0–3,1.7,Brighton,"60,139",Emirates Stadium,Andy Madley,Match Report,,2022,0.0,3.0
402,36,Mon,2023-05-15,20:00,Leicester City,0.4,0–3,2.2,Liverpool,"32,225",King Power Stadium,Craig Pawson,Match Report,,2022,0.0,3.0
404,25,Thu,2023-05-18,19:30,Newcastle Utd,3.6,4–1,0.5,Brighton,"52,122",St James' Park,Robert Jones,Match Report,,2022,4.0,1.0
406,37,Sat,2023-05-20,12:30,Tottenham,1.8,1–3,1.3,Brentford,"61,514",Tottenham Hotspur Stadium,Jarred Gillett,Match Report,,2022,1.0,3.0
407,37,Sat,2023-05-20,15:00,Liverpool,0.7,1–1,1.3,Aston Villa,"53,306",Anfield,John Brooks,Match Report,,2022,1.0,1.0
408,37,Sat,2023-05-20,15:00,Fulham,1.7,2–2,1.6,Crystal Palace,"24,356",Craven Cottage,Joshua Smith,Match Report,,2022,2.0,2.0
409,37,Sat,2023-05-20,15:00,Bournemouth,1.0,0–1,1.4,Manchester Utd,"10,240",Vitality Stadium,Chris Kavanagh,Match Report,,2022,0.0,1.0
410,37,Sat,2023-05-20,15:00,Wolves,1.6,1–1,2.0,Everton,"31,684",Molineux Stadium,David Coote,Match Report,,2022,1.0,1.0
411,37,Sat,2023-05-20,17:30,Nott'ham Forest,0.6,1–0,0.6,Arsenal,"29,514",The City Ground,Anthony Taylor,Match Report,,2022,1.0,0.0
412,37,Sun,2023-05-21,13:30,West Ham,2.1,3–1,0.9,Leeds United,"62,478",London Stadium,Peter Bankes,Match Report,,2022,3.0,1.0
413,37,Sun,2023-05-21,14:00,Brighton,2.5,3–1,0.6,Southampton,"31,507",The American Express Community Stadium,Paul Tierney,Match Report,,2022,3.0,1.0
414,37,Sun,2023-05-21,16:00,Manchester City,1.2,1–0,1.2,Chelsea,"53,490",Etihad Stadium,Michael Oliver,Match Report,,2022,1.0,0.0
415,37,Mon,2023-05-22,20:00,Newcastle Utd,2.1,0–0,0.1,Leicester City,"52,152",St James' Park,Andre Marriner,Match Report,,2022,0.0,0.0
417,32,Wed,2023-05-24,20:00,Brighton,2.2,1–1,1.8,Manchester City,"31,388",The American Express Community Stadium,Simon Hooper,Match Report,,2022,1.0,1.0
418,32,Thu,2023-05-25,20:00,Manchester Utd,5.2,4–1,1.9,Chelsea,"73,561",Old Trafford,Stuart Attwell,Match Report,,2022,4.0,1.0
420,38,Sun,2023-05-28,16:30,Crystal Palace,1.4,1–1,0.5,Nott'ham Forest,"25,198",Selhurst Park,Thomas Bramall,Match Report,,2022,1.0,1.0
421,38,Sun,2023-05-28,16:30,Chelsea,2.2,1–1,1.7,Newcastle Utd,"40,130",Stamford Bridge,Jarred Gillett,Match Report,,2022,1.0,1.0
422,38,Sun,2023-05-28,16:30,Manchester Utd,2.9,2–1,1.8,Fulham,"73,465",Old Trafford,Robert Jones,Match Report,,2022,2.0,1.0
423,38,Sun,2023-05-28,16:30,Arsenal,2.8,5–0,0.5,Wolves,"60,095",Emirates Stadium,Andre Marriner,Match Report,,2022,5.0,0.0
424,38,Sun,2023-05-28,16:30,Southampton,1.8,4–4,4.0,Liverpool,"31,129",St. Mary's Stadium,Darren England,Match Report,,2022,4.0,4.0
425,38,Sun,2023-05-28,16:30,Everton,1.0,1–0,0.5,Bournemouth,"39,201",Goodison Park,Stuart Attwell,Match Report,,2022,1.0,0.0
426,38,Sun,2023-05-28,16:30,Leicester City,1.4,2–1,1.4,West Ham,"32,183",King Power Stadium,Simon Hooper,Match Report,,2022,2.0,1.0
427,38,Sun,2023-05-28,16:30,Aston Villa,2.8,2–1,1.4,Brighton,,Villa Park,David Coote,Match Report,,2022,2.0,1.0
428,38,Sun,2023-05-28,16:30,Leeds United,1.5,1–4,2.2,Tottenham,"36,871",Elland Road,Anthony Taylor,Match Report,,2022,1.0,4.0
429,38,Sun,2023-05-28,16:30,Brentford,1.3,1–0,1.6,Manchester City,"17,120",Brentford Community Stadium,John Brooks,Match Report,,2022,1.0,0.0
