Unnamed: 0,gameweek,home_team,home_score,home_xg,away_team,away_score,away_xg,referee,season
324,31,Sheffield Weds,1,0,Liverpool,1,0,Vic Callow,1992
325,31,Manchester Utd,3,0,Middlesbrough,0,0,Keith Hackett,1992
326,31,Aston Villa,1,0,Wimbledon,0,0,Stephen Lodge,1992
327,31,Norwich City,0,0,Blackburn,0,0,Philip Don,1992
328,31,Chelsea,1,0,Arsenal,0,0,Tony Ward,1992
329,29,Ipswich Town,0,0,Middlesbrough,1,0,Keren Barratt,1992
330,29,Sheffield Utd,6,0,Tottenham,0,0,Joe Worrall,1992
331,27,Norwich City,1,0,Arsenal,1,0,John Martin,1992
332,29,Coventry City,1,0,Sheffield Weds,0,0,Keith Cooper,1992
333,29,Everton,2,0,Blackburn,1,0,Peter Foakes,1992
334,33,Nott'ham Forest,1,0,Crystal Palace,1,0,Jim Borrett,1992
335,32,Liverpool,1,0,Manchester Utd,2,0,Roger Milford,1992
336,32,QPR,3,0,Norwich City,1,0,Rodger Gifford,1992
337,32,Wimbledon,1,0,Southampton,2,0,Alan Gunn,1992
338,32,Coventry City,0,0,Everton,1,0,David Elleray,1992
339,33,Wimbledon,2,0,Middlesbrough,0,0,Mike Reed,1992
340,33,Blackburn,0,0,Southampton,0,0,Stephen Lodge,1992
341,33,Oldham Athletic,1,0,Manchester Utd,0,0,Gerald Ashby,1992
342,33,Aston Villa,0,0,Tottenham,0,0,Keith Hackett,1992
343,33,Sheffield Utd,0,0,Norwich City,1,0,Raymond Lewis,1992
344,33,Chelsea,2,0,Everton,1,0,Martin Bodenham,1992
345,33,Manchester City,1,0,Coventry City,0,0,Paul Durkin,1992
346,33,Liverpool,1,0,QPR,0,0,Keith Burge,1992
347,33,Ipswich Town,0,0,Sheffield Weds,1,0,Tony Ward,1992
348,34,QPR,1,0,Wimbledon,2,0,Philip Don,1992
349,34,Everton,3,0,Nott'ham Forest,0,0,Vic Callow,1992
350,34,Middlesbrough,1,0,Liverpool,2,0,Mike Peck,1992
351,34,Coventry City,0,0,Arsenal,2,0,David Allison,1992
352,34,Southampton,4,0,Ipswich Town,3,0,David Elleray,1992
353,34,Leeds United,1,0,Manchester City,0,0,Keith Hackett,1992
354,34,Norwich City,1,0,Oldham Athletic,0,0,Roger Milford,1992
355,34,Manchester Utd,1,0,Aston Villa,1,0,Alan Gunn,1992
356,34,Crystal Palace,1,0,Chelsea,1,0,Keith Cooper,1992
357,29,Nott'ham Forest,0,0,Norwich City,3,0,Stephen Lodge,1992
358,35,Oldham Athletic,2,0,QPR,2,0,Martin Bodenham,1992
359,35,Manchester City,1,0,Manchester Utd,1,0,Robbie Hart,1992
360,35,Chelsea,1,0,Tottenham,1,0,Roger Dilkes,1992
361,35,Aston Villa,2,0,Sheffield Weds,0,0,Roger Milford,1992
362,35,Arsenal,4,0,Southampton,3,0,Keren Barratt,1992
363,35,Wimbledon,3,0,Norwich City,0,0,Keith Cooper,1992
364,35,Blackburn,1,0,Middlesbrough,1,0,Gerald Ashby,1992
365,35,Ipswich Town,0,0,Coventry City,0,0,Joe Worrall,1992
366,35,Liverpool,1,0,Everton,0,0,Philip Don,1992
367,35,Sheffield Utd,0,0,Crystal Palace,1,0,John Martin,1992
368,35,Nott'ham Forest,1,0,Leeds United,1,0,Raymond Lewis,1992
369,36,Middlesbrough,2,0,Oldham Athletic,3,0,Kelvin Morton,1992
370,36,Crystal Palace,1,0,Liverpool,1,0,Roger Dilkes,1992
371,36,Manchester Utd,0,0,Arsenal,0,0,Vic Callow,1992
372,36,Tottenham,3,0,Manchester City,1,0,John Martin,1992
373,36,QPR,0,0,Blackburn,3,0,Alan Gunn,1992
374,36,Southampton,1,0,Nott'ham Forest,2,0,Mike Reed,1992
375,36,Everton,3,0,Ipswich Town,0,0,Brian Hill,1992
376,36,Norwich City,1,0,Aston Villa,0,0,Robbie Hart,1992
377,36,Leeds United,1,0,Chelsea,1,0,Alan Wilkie,1992
378,36,Sheffield Weds,1,0,Wimbledon,1,0,T Lloyd,1992
379,36,Coventry City,1,0,Sheffield Utd,3,0,Philip Wright,1992
