Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros,ProjMins,ProjGS
Nathan Patterson,6.2,5.4,D,EVE,@SHU,4%,78,1
Aaron Hickey,6.2,5.0,D,BRF,BOU,11%,81,1
Willian,6.2,4.6,F,FUL,@MCI,53%,78,0
Anis Ben Slimane,6.2,4.5,M,SHU,EVE,1%,70,0
Matt Targett,6.1,7.6,D,NEW,@BHA,1%,88,1
Issa Kabore,6.1,6.7,D,LUT,WHU,5%,64,0
Davinson Sanchez,6.1,6.5,D,TOT,@BUR,1%,84,0
Brennan Johnson,6.1,3.4,F,NOT,@CHE,75%,85,1
Chris Mepham,6.0,8.5,D,BOU,@BRF,0%,90,0
Boubacar Kamara,6.0,5.5,M,AVL,@LIV,11%,85,1
Gustavo Hamer,6.0,4.0,M,SHU,EVE,27%,90,1
Jean-Philippe Mateta,6.0,3.0,F,CRY,WOL,1%,71,0
Matty Cash,5.9,8.2,D,AVL,@LIV,87%,86,1
Jakub Kiwior,5.9,6.2,D,ARS,MUN,20%,74,0
Cheick Doucoure,5.9,4.7,M,CRY,WOL,28%,87,1
Mahmoud Dahoud,5.9,4.6,M,BHA,NEW,33%,73,0
Alejandro Garnacho,5.9,4.1,M,MUN,@ARS,78%,66,0
Matheus Cunha,5.9,3.3,F,WOL,@CRY,74%,74,1
Vitinho,5.8,7.9,D,BUR,TOT,3%,90,0
Nelson Semedo,5.8,6.6,D,WOL,@CRY,22%,83,1
Aaron Ramsey,5.8,4.4,M,BUR,TOT,2%,70,1
Taiwo Awoniyi,5.8,3.7,F,NOT,@CHE,89%,73,1
Dara O'Shea,5.7,7.5,D,BUR,TOT,1%,90,1
Yasser Larouci,5.7,5.6,D,SHU,EVE,1%,75,1
Jakub Moder,5.7,5.6,M,BHA,NEW,0%,60,0
Jorginho,5.7,4.4,M,ARS,MUN,5%,83,0
Jaidon Anthony,5.7,3.9,F,BOU,@BRF,2%,73,1
Lucas Digne,5.6,8.5,D,AVL,@LIV,78%,74,1
Tim Iroegbunam,5.6,5.5,M,AVL,@LIV,0%,72,0
Mateo Kovacic,5.6,4.8,M,MCI,FUL,89%,81,0
Joe Rothwell,5.6,4.6,M,BOU,@BRF,3%,74,0
Allan Campbell,5.6,4.4,M,LUT,WHU,0%,70,0
